,title,year,genres,description,rating
522,Swayam Krushi,1987,Drama            ,    Story of a cobbler who believes in hard work and righteousness.. This movie is about respecting the importance of manual labor.,8.3
523,Mental Madhilo,2017,"Comedy, Drama, Romance            ","    An indecisive guy who has been rejected by several women, finds himself in a spot when he has to choose between two women.",7.4
524,Gaayam,1993,"Action, Drama            ","    Durga is all set to marry Anitha and settle down, but things change when his brother is killed by the local MLA, who wants to settle the score with the mafia.",7.3
525,Rayalaseema Ramanna Chowdary,2000,"Action, Drama            ",    A pious man who wants to build a temple on his property resists the efforts of a wealthy but unscrupulous landowner to acquire the land.,6.3
526,Gokulamlo Seetha,1997,"Drama, Romance            ","    Pawan, a Casanova and spoiled brat, tries to woo Sirisha and later falls for her. He starts mending his ways for his love, as his past traits creates disturbances in his love life.",5.6
527,Rajanna,2011,"Action, Drama, History            ","    In Nelakondapalli village, Adilabad district, Mallamma (Annie) is a girl who is a very talented singer. She is taken care of by an elderly man in her village. On one occasion, the elderly ...                See full summary »",6.5
528,Madha,2020,"Mystery, Thriller            ","    MADHA is a Sanskrit term which means ""insanity personified"". MADHA is a female-centered psychological thriller that revolves around a small-time proofreader Nisha.",5.3
529,Hushaaru,2018,Comedy            ,    Four friends from middle-class families believe in carving a niche for themselves by not following a trodden path set by others.,6.9
530,Settai,2013,"Action, Comedy, Crime            ",    Three struggling room-mates unknowingly become potential prey of a ruthless gangster.,4.4
531,Swarnakamalam,1988,"Drama, Musical, Romance            ","    A painter who recently moved into the neighborhood helps his neighbor, a retired cultural dance artist. He helps by painting billboards advertising events in which the artist and his ...                See full summary »",8
532,Tadakha,2013,Action            ,    Siva (Sunil) and Karthik (Naga Chaitanya) are brothers. Elder brother Siva is a timid and shy. He fears for everything. Karthik is a dynamic guy who is very protective of his elder brother....                See full summary »,5.5
533,Nenu Naa Rakshasi,2011,"Action, Drama            ",    The journey of a girl who is interested in suicides and a boy who is interested in her.,5
534,Diya,2018,"Drama, Horror, Thriller            ","    After abortion, a woman's life takes an unexpected turn when she is visited by the foetus, who is now grown up and is visible to her.",5.7
535,Vikram,,"Action, Adventure, Sci-Fi            ","    Vikram, a cop who is mourning the death of his wife, is assigned to retrieve a missile. He is aided by a highly educated engineer Preethi, who holds the knowledge to disarm the nuke, in his mission.",7.2
536,Kadhal Desam,1996,"Comedy, Drama, Romance            ","    In a city in Southern India traditional rivalry has always existed between the students of Pachiappas and Loyala Colleges respectively. While Rajesh studies in Pachiappas College, lives in ...                See full summary »",6.8
537,Mudra,2019,"Action, Thriller            ",    An investigative journalist is arrested for cheating banks with fake certificates. He discovers a crime syndicate behind the scam and decides to investigate it himself.,7
538,Naa Autograph Sweet Memories,2004,"Drama, Romance            ","    3 different phases of Seenu's(Ravi Teja) life, from his first love in childhood to his successful career and marriage.",7.3
539,Dum Dum Dum,2001,"Comedy, Romance            ",    The story revolves around an unhappy groom and bride forced into a wedding. The groom backs away because he is reluctant to give up his life of wine and women in the city while the bride is...                See full summary »,7
540,Challenge,1984,Drama            ,"    The story of a young un-employed youth, who instead of despairing uses his skills to earn tons of money to show to the world that anything is possible if there is will to do it.",7.8
541,Kalisundam Raa,2000,Drama            ,    Raghavaiah (K. Vishwanath) and Ram Mohan Rao (Ranganath) are brothers-in-law. But Ram Mohan Rao is at loggerheads with Raghavaiah because of a family feud. Raghavaiah is nearing his 60's ...                See full summary »,7.3
542,Pandaga Chesko,2015,"Action, Drama, Family            ","    Karthik, a money minded businessman, gets engaged to another money-minded girl Anushka. When his factory gets shut down by an environment activist Divya, he goes back to India only to fall in love with her.",5.4
543,Lakshmi,2006,"Action, Drama            ","    Lakshmi (Venkatesh) a business tycoon hides a secret about his past in front of his brothers which leads to unexpected consequences. At the same time, villain allies with his brothers and make them turn against Lakshmi.",5.8
544,Daddy,,Drama            ,"    Raj's daughter has a heart ailment. He starts a chit fund business but is conned and imprisoned. With his daughter dead and wife gone, he anonymously begins to fund a hospital and work as a volunteer.",6.5
545,Seetha,2019,Romance            ,"    A four-year-old Ram is left in a monastery by a person named Anand Mohan and is promised that Sita will come to take care of him. Ram is innocent and cute. He makes Ram promise that he too,...                See full summary »",4.7
546,Kalki,,"Action, Thriller            ","    The village of Kollapuram is under the rule of Narsappa (Ashutosh Rana) and Perumal (Shatru). One day during a local festival Sekhar (Siddhu Jonnalagadda), brother of Narsappa gets killed. ...                See full summary »",7
547,Parama Veera Chakra,2011,"Action, Drama            ",    A famous actor is asked to play the role of his lookalike army major and eventually battle his enemies.,2
548,Samarasimha Reddy,1999,"Action, Drama            ",    Revenge story between Samarasimha Reddy and Veera Raghava Reddy.,7.1
549,Andhrawala,2004,"Action, Drama            ",    A young man fights the mafia in his town for better life to his people but this leads to chain wars between the mafia and him.,3.5
550,Hyper,2016,"Action, Drama            ",    A young man fights a corrupt government official.,5.7
551,Kalloori,2007,Drama            ,"    A group of nine childhood friends join an arts college together in a small town. Soon, Shobana becomes a part of their group, joining in the fun and games. Muthu eventually falls in love with her.",7.3
552,Veera,2011,"Action, Comedy, Drama            ",    A man wants to avenge his family's death which has been mass murdered by a bad guy.,3.8
553,Criminal,1995,"Action, Romance, Thriller            ","    After witnessing the sudden death of a woman, who was unable to afford hospital treatment, Dr. Ajay Kumar cancels his immigration to America and instead sets out to build a hospital that ...                See full summary »",5.7
554,Gharana Mogudu,1992,"Action, Comedy, Drama            ",    An arrogant daughter of a rich industrialist decides to marry their factory employee in order to teach him a lesson. But things changes a lot after their marriage.,7.3
555,Namo Venkatesa,2010,"Action, Crime, Romance            ",    A mimic artist/ventriloquist is fooled into believing that a woman loves him.,5.4
556,Karnan,1964,"Action, Drama, History            ",    Brave and loyal warrior-archer Karna joins the Kauravas to battle the Pandavas in the Kurukshetra.,8
557,Annayya,2000,"Comedy, Drama, Family            ",    The story of an elder brother who would do anything for his younger brothers.,6.6
558,Mesthri,2009,Drama            ,    An upstanding businessman is forced to seek revenge when an associate of his is murdered.,4.6
559,Little Soldiers,1996,"Family, Musical, Comedy            ","    Two ill-behaved children are orphaned in an accident and are forced to live with their estranged grandfather, a hard-boiled veteran. Their relationship is strained at first, but over time they warm up to each other.",7.9
